x	F(x)
-2.00	1.583853
-1.90	1.576710
-1.80	1.572798
-1.70	1.571156
-1.60	1.570800
-1.50	1.570737
-1.40	1.569967
-1.30	1.567499
-1.20	1.562358
-1.10	1.553596
-1.00	1.540302
-0.90	1.521610
-0.80	1.496707
-0.70	1.464842
-0.60	1.425336
-0.50	1.377583
-0.40	1.321061
-0.30	1.255336
-0.20	1.180067
-0.10	1.095004
0.00	1.000000
0.10	0.895004
0.20	0.780067
0.30	0.655336
0.40	0.521061
0.50	0.377583
0.60	0.225336
0.70	0.064842
0.80	-0.103293
0.90	-0.278390
1.00	-0.459698
1.10	-0.646404
1.20	-0.837642
1.30	-1.032501
1.40	-1.230033
1.50	-1.429263
1.60	-1.629200
1.70	-1.828844
1.80	-2.027202
1.90	-2.223290
2.00	-2.416147
