Ітерація   | X          | Y          | f(x,y)      
--------------------------------------------------
1          | 0.500000 | 0.500000 | 0.2500000000
2          | 0.500000 | 0.500000 | 0.2500000000
3          | 0.750000 | 0.750000 | 0.0156250000
4          | 0.750000 | 0.750000 | 0.0156250000
5          | 0.750000 | 0.750000 | 0.0156250000
6          | 0.687500 | 0.687500 | 0.0029907227
7          | 0.687500 | 0.687500 | 0.0029907227
8          | 0.718750 | 0.687500 | 0.0010919571
9          | 0.718750 | 0.687500 | 0.0010919571
10         | 0.718750 | 0.703125 | 0.0003648400
11         | 0.703125 | 0.703125 | 0.0001261234
12         | 0.703125 | 0.703125 | 0.0001261234
13         | 0.710938 | 0.703125 | 0.0000610687
14         | 0.710938 | 0.703125 | 0.0000610687
15         | 0.707031 | 0.707031 | 0.0000000456
16         | 0.707031 | 0.707031 | 0.0000000456
17         | 0.707031 | 0.707031 | 0.0000000456
18         | 0.707031 | 0.707031 | 0.0000000456
19         | 0.707031 | 0.707031 | 0.0000000456
20         | 0.707031 | 0.707031 | 0.0000000456
21         | 0.707153 | 0.707031 | 0.0000000166
22         | 0.707153 | 0.707031 | 0.0000000166
23         | 0.707153 | 0.707092 | 0.0000000058
24         | 0.707092 | 0.707092 | 0.0000000017
25         | 0.707092 | 0.707092 | 0.0000000017
26         | 0.707123 | 0.707092 | 0.0000000009
27         | 0.707123 | 0.707092 | 0.0000000009
28         | 0.707108 | 0.707108 | 0.0000000000
29         | 0.707108 | 0.707108 | 0.0000000000
30         | 0.707108 | 0.707108 | 0.0000000000
31         | 0.707108 | 0.707108 | 0.0000000000
32         | 0.707106 | 0.707108 | 0.0000000000
33         | 0.707106 | 0.707108 | 0.0000000000
